amfi_code,scheme_name,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,worst_drawdown_date,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_dd,fund_score
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.20360678307711866,0.3400091602163293,0.263149802906119,1.0682238272314735,1.4907389522947083,0.1932629676764157,0.0008551917861841213,-0.11265729075028275,2023-10-20,1.46,0.975,1.0,0.85,0.45,0.825,86.25
120505,ICICI Pru Midcap Fund - Regular - Growth,0.29604659337893646,0.317775371512347,0.2889388246767115,0.8832556184698839,1.2858427838168305,0.20234758568294967,0.030882322509109092,-0.18188513572116294,2025-01-23,1.36,0.9,0.925,0.95,0.65,0.4,82.875
120843,Kotak Flexicap Fund - Regular - Growth,0.26657081760850154,0.2958277033726251,0.2628712605631647,0.965560651744012,1.4795034584167766,0.19644491404885842,-0.006872712800491438,-0.1297396816518679,2022-04-13,1.45,0.85,0.975,0.9,0.475,0.7,82.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.5323239623092084,0.32442459421956116,0.2641284418136891,0.8082678003905593,1.1442164603950202,0.19589838670818174,-0.005999791578498016,-0.16217208574644848,2022-05-12,1.38,0.925,0.85,0.875,0.6,0.525,80.75
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.13064279264417977,0.3248742855621496,0.2051168188415211,0.7146822636441237,1.0639638792991957,0.15258489511086232,-0.0030686838236549034,-0.12588275606922517,2023-05-30,0.8,0.95,0.75,0.75,0.725,0.725,80.37500000000001
119094,Axis Midcap Fund - Regular - Growth,0.22261065131342206,0.35111802096428524,0.24535034300396563,0.7305467735561728,1.0552844773147765,0.17283364477354346,0.054420641504018555,-0.20960883862039192,2022-08-11,1.38,1.0,0.8,0.8,0.6,0.325,78.25
119551,SBI Bluechip Fund - Regular Plan - Growth,0.6043734071403091,0.3045652442030289,0.2240207284794744,0.8609773262277757,1.2914833497690066,0.16174501816900555,0.015413706805384585,-0.1501238549864533,2024-02-05,1.54,0.875,0.9,0.775,0.2625,0.6,74.1875
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.3975176148971702,0.2917890157839378,0.2741707694597304,0.9190465356358284,1.3528150221233657,0.19301224442740492,0.0426149650862492,-0.1639674294693263,2023-10-20,1.6,0.825,0.95,0.825,0.1125,0.5,71.6875
149323,DSP Midcap Fund - Regular - Growth,0.21481222193726257,0.268699908289022,0.25599707110077463,0.8328852279505965,1.167793379907482,0.19793721082001448,-0.034980936896101926,-0.17248105753451382,2022-10-24,1.61,0.75,0.875,0.925,0.075,0.475,68.75
149324,DSP Small Cap Fund - Regular - Growth,0.6513871892998797,0.27000426614519246,0.28187713206128606,0.7144216579881012,1.0309617308730283,0.2174917721788788,-0.010417124381044878,-0.31171900300634214,2025-01-03,1.52,0.775,0.725,1.0,0.3625,0.1,67.8125
101206,ABSL Frontline Equity Fund - Regular - Growth,0.4792412023860102,0.2896769452874166,0.20414973065696018,0.7174089959890172,1.06390859680118,0.15191647101027275,0.006962409015294065,-0.11291596329323073,2023-07-05,1.6,0.8,0.775,0.725,0.1125,0.8,67.56249999999999
119598,SBI Small Cap Fund - Regular Plan - Growth,0.8277605861507404,0.2666992200118774,0.2841391272219287,0.7116901743847246,1.0672557743438265,0.20711478680745576,0.04156002651847213,-0.2870600572176455,2025-05-14,1.43,0.725,0.7,0.975,0.5,0.125,67.49999999999999
118632,Nippon India Large Cap Fund - Regular - Growth,0.339810484550213,0.22652359830098634,0.20898396688116905,0.7588510310771439,1.0988795112458638,0.15048600705370135,0.02421865438319213,-0.17414075086657232,2024-07-19,1.51,0.675,0.825,0.675,0.4125,0.45,65.0625
