amfi_code,scheme_name,alpha,beta
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.028000510132031704,-0.011135119413591821
100025,HDFC Short Term Debt Fund - Regular - Growth,0.029711727435508293,0.004156463961385481
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.19589838670818174,-0.005999791578498016
101206,ABSL Frontline Equity Fund - Regular - Growth,0.15191647101027275,0.006962409015294065
101207,ABSL Small Cap Fund - Regular - Growth,0.06673111642973262,0.043633627970824804
101208,ABSL Liquid Fund - Regular - Growth,0.04342473070539147,0.0004337619478238899
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.1258411368819329,-0.01957169823840364
102886,UTI Mid Cap Fund - Regular - Growth,0.017059871908257106,0.012205988479489584
102887,UTI Flexi Cap Fund - Regular - Growth,0.11502231752940403,0.005616956403160092
118632,Nippon India Large Cap Fund - Regular - Growth,0.15048600705370135,0.02421865438319213
118633,Nippon India Large Cap Fund - Direct - Growth,0.11106494263214499,-8.065242245855235e-05
118634,Nippon India Small Cap Fund - Regular - Growth,0.11627518496745202,0.04983301446526247
118635,Nippon India ETF Nifty 50 BeES,0.11613718386401803,-0.0355653594868727
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.034492653388037656,0.008145481810582117
119092,Axis Bluechip Fund - Regular - Growth,0.04764019403758676,0.008529744476069313
119093,Axis Bluechip Fund - Direct - Growth,0.05561084453583431,0.01711428365712887
119094,Axis Midcap Fund - Regular - Growth,0.17283364477354346,0.054420641504018555
119095,Axis Small Cap Fund - Regular - Growth,0.019596260999821407,0.05937287429655609
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.03897928547123909,0.004785069040206106
119551,SBI Bluechip Fund - Regular Plan - Growth,0.16174501816900555,0.015413706805384585
119552,SBI Bluechip Fund - Direct Plan - Growth,0.1361971809049909,0.023670144700288373
119598,SBI Small Cap Fund - Regular Plan - Growth,0.20711478680745576,0.04156002651847213
119599,SBI Small Cap Fund - Direct Plan - Growth,0.04584858634442775,-0.04286804793284899
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.12267959344578243,0.013487006008006392
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.15258489511086232,-0.0030686838236549034
120505,ICICI Pru Midcap Fund - Regular - Growth,0.20234758568294967,0.030882322509109092
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.11728532437907974,-0.000667538928200088
120507,ICICI Pru Liquid Fund - Regular - Growth,0.04833362999947297,-0.0004844190071802321
120841,Kotak Bluechip Fund - Regular - Growth,0.09895196443297784,-0.021917230687794886
120842,Kotak Emerging Equity Fund - Regular - Growth,0.057374353199530916,-0.005263133086755946
120843,Kotak Flexicap Fund - Regular - Growth,0.19644491404885842,-0.006872712800491438
120844,Kotak Liquid Fund - Regular - Growth,0.046068924210449905,0.0003588348224926919
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.13051059411245558,-0.011950585902010162
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.09641777380287106,-0.04699315912408659
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.1932629676764157,0.0008551917861841213
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.15149156526779298,-0.012672617864761804
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.19301224442740492,0.0426149650862492
149322,DSP Top 100 Equity Fund - Regular - Growth,0.0912878717252132,0.012584144304962859
149323,DSP Midcap Fund - Regular - Growth,0.19793721082001448,-0.034980936896101926
149324,DSP Small Cap Fund - Regular - Growth,0.2174917721788788,-0.010417124381044878
